,Text,Article_Id
11,asia share defi postquak gloom indonesian  indian hong kong stock market reach record high  investor seem feel worstaffect area underdevelop tragedi would littl impact asia list firm   obvious lot loss life  lot time need clean mess  buri peopl find miss   said abn amro eddi wong     necessarili realli big thing econom sens   india bombay stock exchang inch slightli previou record close wednesday  expect strong corpor earn 2005 drove indonesian stock exchang jakarta record high wednesday  hong kong  hang seng index may benefit part potenti list properti compani gain rebuild contract tsunamiaffect region south east asia  sri lanka  economist said much 1  annual growth may lost  sri lanka stock market fallen 5  sinc weekend  still 40  higher start 2004 thailand may lose 30bn baht  £398m   768m  earn tourism next three month  accord tourism minist sontaya kunplom  affect provinc  expect loss tourism revenu offset govern reconstruct spend  thailand intend spend similar sum  around 30bn baht  rebuild work   take fourth quarter next year tourist visitor phuket five provinc return normal level   said nari chaiyasoot  director gener ministri fiscal polici offic  maldiv cost reconstruct could wipe econom growth  accord govern spokesman   nation peril   said ahm shahe  chief govern spokesman  estim econom cost disast hundr million dollar  maldiv gross domest product  660m   wo nt surpris cost exce gdp   said   last year  made great progress standard live  unit nation recognis  see disappear day  minut   shahe note invest singl tourist resort  econom mainstay  could run  40m  10 12 80odd resort sever damag  similar number suffer signific damag  howev  mani expert  includ world bank  point still difficult assess magnitud disast like econom impact  part  scale  deliv aid recov dead remain prioriti   calcul wait   said imf offici brief wednesday   financi world commun turn toward reconstruct effort point peopl begin sens financi impact  ,260
12,egypt sell stateown bank egyptian govern reportedli plan privatis one countri big public bank  invest ministri offici told reuter news agenc bank alexandria sold sometim 2005 move seen evid new commit govern reduc size public sector  offici said govern yet decid whether sale take form public flotat   import thing decid method  whether sell share public strateg investor abroad   said  analyst say publicsector bank suit govern monetari  credit exchang polici  nevertheless  egyptian govern spoken year privatis one big four state bank  banqu misr  nation bank egypt  banqu du cair bank alexandria  expect one smallest four big public bank  bank alexandria banqu du cair  would sold first  announc reinforc hope investor intern financi bodi reviv egypt privatis programm  190 staterun compani facil sold earli 1990 1997 appoint mahmoud mohieldin  reformmind technocrat  new post invest minist juli taken sign selloff way  imf world bank urg egypt remov obstacl develop privat sector say vital role play reduc poverti expand economi ,389
13,metlif buy citigroup insur us bank giant citigroup sold travel life  annuiti insur arm metlif  115bn  £61bn   sale move citigroup away 1990 strategi offer everi financi servic  insur  broke bank  profit growth insur market match expans citigroup busi  metlif  us lead insur compani  purchas give access much larger distribut network  robert benmosch  metlif chairman chief execut  said  great opportun brand metlif distribut citigroup   agreement  metlif abl sell product citigroup next 10 year  deal includ smith barney retail brokerag citibank branch  compani pay  1bn  3bn metlif stock rest made cash  travel sale  52bn 2004 made profit  901m  total net asset  96bn   deal employ metlif excess capit potenti higherreturn busi give distribut   said stuart quint  analyst gartmor ,88
14,mysteri surround new yuko owner fate russia yuganskneftega  oil firm sold littleknown buyer sunday  subject frantic specul moscow  baikal financ group emerg auction winner  agre pay 26075bn roubl  £48bn   94bn   russia newspap claim baikal front ga monopoli gazprom  expect win  sale destroy yuko  owner yuganskneftega  said founder mikhail khodorkovski   yuganskneftega sold best tradit 90  author made wonder christma present  russia effici oil compani destroy   interfax news agenc quot mr khodorkovski say via lawyer  gazprom expect win auction thought fail get financ deal us court injunct bar take part  last week  yuko file chapter 11 bankruptci protect us lastditch attempt hang yuganskneftega  account 60  output  us judg ban gazprom take part auction bar intern bank provid firm cash   screw financ   said ronald smith  analyst renaiss capit moscow   gazprom nt sort money lie around   gazprom deni behind purchas   front somebodi necessarili gazprom   said oleg maximov  analyst troika dialog moscow   nt know compani link 100  gazprom   tri find  could nt far know  paper result   sale howev bought time gazprom rais money need purchas  analyst said  one scenario baikal pay suppos two week time  put yuganskneftega back hand bailiff back within reach gazprom  yuko plan let go unit without fight threaten legal action buyer  menatep  yuko main sharehold  group  also threaten legal action  yuko claim punish polit ambit founder  mikhail khodorkovski  jail face separ fraud charg  hit  27bn tax fine mani observ say break firm account 20  russia oil output inevit ,318
15,monsanto fine  15m briberi us agrochem giant monsanto agre pay  15m  £799000  fine bribe indonesian offici  monsanto admit one employe paid senior offici two year ago bid avoid environment impact studi conduct cotton  addit penalti  monsanto also agre three year  close monitor busi practic american author  said accept full respons call improp activ  former senior manag monsanto direct indonesian consult firm give  50000 bribe highlevel offici indonesia environ ministri 2002 manag told compani disguis invoic bribe  consult fee   monsanto face stiff opposit activist farmer campaign plan introduc geneticallymodifi cotton indonesia  despit bribe  offici authoris waiv environment studi requir  monsanto also admit pay bribe number highrank offici 1997 2002 chemicalsandcrop firm said becam awar irregular jakartabas subsidiari 2001 launch intern investig inform us depart justic secur exchang commiss  sec   monsanto face crimin civil charg depart justic sec   compani bribe way favour treatment foreign offici   said christoph wray  assist us attorney gener  monsanto agre pay  1m depart justic  adopt intern complianc measur  cooper continu civil crimin investig  also pay  500000 sec settl bribe charg relat violat  monsanto said accept full respons employe  action  ad taken  remedi action address activ indonesia   fulli cooper  throughout investig process ,400
16,borussia dortmund near bust german footbal club former european champion borussia dortmund warn go bankrupt rescu talk creditor fail  compani share tumbl said  enter lifethreaten profit financi situat   borussia dortmund post record loss miss rent payment westfallen stadium  chief execut gerd niebaum step last week creditor push greater control  share borussia dortmund  germani stockmarket list footbal club  drop almost 23  205 euro earli afternoon trade  fund manag florian hamm  borussia dortmund largest investor  said would invest money compani got greater say run   demand better transpar   quot say germani manger magazin  club also face call appoint execut outsid club  borussia dortmund post record loss 68m euro   89m  £47m  12 month june  made loss 272m euro first half current fiscal year said total debt increas 1347m euro middl 2006 unless restructur plan push   bill mismanag past year   said hvb analyst peterthilo halser  club appoint auditor  recommend number step  includ defer rent due stadium suspend debt repay least 20062007 fiscal year  stephen schechter  uk invest banker held talk borussia dortmund possibl bond sale  said club need capit inject 35m euro   need strong peopl board histori club   said ,193
17,polic detain chines milk boss chines polic detain three top execut milk firm yili  report suggest investig embezzl  yili  full name inner mongolia yili industri  confirm chairman  chief financi offic secur repres custodi  compani  china thirdlargest milk produc  hold emerg meet debat issu  yili spokesman said may move oust chairman zheng junhuai  spokesman say three detain polic  offici xinhua news agenc said arrest link alleg embezzl  yili recent subject intens media specul financi oper  execut suspect wrongli use 417m yuan   504m  £26m  compani fund support manag buyout back juli 2003 yili share suspend tuesday  fallen 10  monday  compani two main rival  market leader mengniu dairi second place bright dairi  domin chines milk market grown almost 30  past five year  analyst wonder scandal yili  latest befal chines compani year  could follow revel corpor wrongdo   investor wonder yili scandal  one slew uncov year  nt tip iceberg   said chen huiqin  analyst huatai secur ,338
18,german bidder talk lse deutsch boers boss held  construct  profession friendli  talk london stock exchang  lse   chief said  werner seifert met lse chief execut clara furs amid rumour german group may rais bid £15bn   29bn  initi £13bn offer  howev  rival suitor euronext also up ant bid battl  ahead talk lse friday  paneuropean bours said may prepar make offer cash  parisbas exchang  owner liff london  report readi rais £14bn fund bid  news came deutsch boers held third meet lse sinc bid approach decemb turn london exchang undervalu busi  howev  lse agre leav door open talk find whether  significantlyimprov propos  would interest lse sharehold custom  meantim  euronext  combin pari  amsterdam lisbon stock exchang  also began talk lse  statement thursday  euronext said offer like sole cash  ad   assur stage offer made   deal either bidder would creat biggest stock market oper europ second biggest world new york stock exchang  howev  neither side made formal offer lse  sourc claim step may still week away  deutsch boers could also face mount opposit bid home  among sweeten report discuss mr seifert ms furs plan move manag cash eurex deriv market london  well two member execut board   han recker  board member germani central bank  bundesbank  said cash trade also remain frankfurt  someth deutsch boers could move uk   headquart boers also import market segment must stay perman frankfurt  special import busi activ bank consult   said  local govern offici frankfurt state hessen also spoken move   wish headquart stay maintain frankfurt stand number one financi centr continent europ   aloi rhiel  minist econom affair ad ,279
19,korea spend boost economi south korea boost state spend next year effort creat job kick start sputter economi  earmark 100 trillion   96bn  first six month 2005  60  total annual budget  govern main problem  slump consumpt contract construct industri   aim creat 400000 job focu infrastructur home build  well provid public firm money hire new worker  govern set econom growth rate target 5  next year hint would danger unless took action   intern extern econom condit like remain unfavour 2005   financ economi ministri said statement  blame  continu uncertainti fluctuat oil price foreign exchang rate stagnant domest demand shown sign quick rebound   2004  growth 47  48   ministri said  everyon convinc plan work   primari worri centr believ govern overli optimist view front load budget enough turn economi around   consult 4cast said report  problem face south korea mani consum reel effect credit bubbl recent burst  million south korean default credit card bill  countri biggest card lender hover verg bankruptci month  part spend plan  govern said ask firm  roll mortgag loan come due first half 2005   also pledg look way help famili low incom  govern voic concern effect redund build trade   given econom spill employ effect construct sector  sharp downturn construct industri could advers effect   ministri said  result  south korea give privat compani also given chanc build school  hospit  hous public build  also look real estat tax system  plan tabl includ promot new industri biotechnolog nanotechnolog  well offer increas support small medium size busi   focu job creation econom recoveri  given unfavour domest global condit like dog korean economi 2005   ministri said ,356
20,high fuel price hit ba profit british airway blame high fuel price 40  drop profit  report result three month 31 decemb 2004  airlin made pretax profit £75m   141m  compar £125m year earlier  rod eddington  ba chief execut  said result  respect  third quarter fuel cost rose £106m 473   ba profit still better market expect £59m  expect rise fullyear revenu  help offset increas price aviat fuel  ba last year introduc fuel surcharg passeng  octob  increas £6 £10 oneway longhaul flight  shorthaul surcharg rais £250 £4 leg  yet aviat analyst mike powel dresdner kleinwort wasserstein say ba estim annual surcharg revenu  £160m  still way short addit fuel cost  predict extra £250m  turnov quarter 43  £197bn  benefit rise cargo revenu  look ahead full year result march 2005  ba warn yield  averag revenu per passeng  expect declin continu lower price face competit lowcost carrier  howev  said sale would better previous forecast   year march 2005  total revenu outlook slightli better previou guidanc 3  35  improv anticip   ba chairman martin broughton said  ba previous forecast 2  3  rise fullyear revenu  also report friday passeng number rose 81  januari  aviat analyst nick van den brul bnp pariba describ ba latest quarterli result  pretti modest    quit good revenu side show impact fuel surcharg posit cargo develop  howev  oper margin cost impact fuel strong   said  sinc 11 septemb 2001 attack unit state  ba cut 13000 job part major costcut drive   focu remain reduc control cost debt whilst continu invest product   mr eddington said   exampl  taken deliveri six airbu a321 aircraft next month start improv club world flat bed   ba share close four penc 2745 penc ,4
21,safeti alert gm recal car world biggest carmak gener motor  gm  recal nearli 200000 vehicl us safeti ground  accord feder regul  nation highway traffic safeti administr  nhtsa  said largest recal involv 155465 pickup  van sport util vehicl  suv   possibl malfunct brake system  affect vehicl product recal 2004 2005 model year  gm said  vehicl potenti fault chevrolet avalanch  express  kodiak  silverad suburban  gmc savana  sierra yukon  nhtsa said pressur accumul brake system could crack normal drive fragment could injur peopl hood open  could allow hydraul fluid leak  could make harder brake steer could caus crash  warn  gm also recal 19924 cadillac xlr coup  srx suv pontiac grand prix sedan 2004 model year  acceler pedal may work properli extrem cold temperatur  requir brake  addit  car giant call back 17815 buick ranier  chevrolet trailblaz  gmc envoy isuzu ascend 2005 model year windshield properli fit could fall crash  howev  gm stress know injuri relat problem  news recal follow announc last month gm expect earn year lower 2004 world biggest car maker grappl loss european busi  weak us sale product recal  januari  gm said higher healthcar cost north america  lower profit financi servic subsidiari would hurt perform 2005 ,26
22,pernod takeov talk lift domecq share uk drink food firm alli domecq risen specul could target takeov franc pernod ricard  report wall street journal financi time suggest french spirit firm consid bid  yet contact target  alli domecq share london rose 4  1200 gmt  pernod share pari slip 12   pernod said seek acquisit refus comment specif  pernod last major purchas third us giant seagram 2000  move propel global top three drink firm  twothird seagram bought market leader diageo  term market valu  pernod  75bn euro   97bn   9  smaller alli domecq  capitalis £57bn   107bn  82bn euro   last year pernod tri buy glenmorangi  one scotland premier whiski firm  lost luxuri good firm lvmh  pernod home brand includ chiva regal scotch whiski  havana club rum jacob creek wine  alli domecq big name includ malibu rum  courvoisi brandi  stolichnaya vodka ballantin whiski  well snack food chain dunkin  donut baskinrobbin ice cream  wsj said two ripe consolid  dealt problemat part portfolio  pernod reduc debt took fund seagram purchas 18bn euro  alli improv perform fastfood chain ,5
23,bargain call widen softbank loss japanes commun firm softbank widen loss heavi spend new cutrat phone servic  servic  launch decemb dub  otoku   bargain   almost 900000 order  softbank said  firm  market leader highspe internet  oper loss three month decemb 75bn yen   715m  £384m   without otoku market spend would made profit  expect move black 2006 firm give figur extent profit expect make next year  born 1990 tech boom  invest wide becom fastris star  till end tech bubbl hit hard  recent return high profil came purchas japan telecom  countri thirdbiggest fixedlin telecom firm  acquisit spur broadband internet divis pole posit japanes market  51 million subscrib end decemb ,124
24,ad firm wpp profit surg 15  uk advertis giant wpp post largerthanexpect annual profit predict outperform market 2005 pretax profit rose 15  year ago reach £546m   104bn   ahead averag analyst  forecast £532m  revenu £43bn firm oper margin 141   said could reach 148  2006 year wpp bought us rival grey global  creat giant big enough rival sector leader omnicom  chief execut martin sorrel friday told reuter news agenc wpp submit propos unit busi media nop world market research unit  analyst say unit sell could sell £350m  wpp recent year also bought firm ogilvi  mather cordiant commun  also includ firm young  rubicam j walter thompson  event olymp help boost wpp profit 2004 compani said us congression elect fifa world cup like present advertis opportun near futur  longterm outlook look  favour  media technolog develop strength us economi  wpp said ,35
25,winndixi file bankruptci us supermarket group winndixi file bankruptci protect succumb stiff competit market domin walmart  winndixi  among profit us grocer  said chapter 11 protect would enabl success restructur  said 920 store would remain open  analyst said would like offload number site  jacksonvil  floridabas firm total debt  187bn  £980m   bankruptci petit list biggest creditor us food giant kraft food  owe  151m  analyst say winndixi kept consum  demand also burden number store need upgrad  10month restructur plan deem failur  follow largerthanexpect quarterli loss earlier month  winndixi slide bankruptci wide expect  compani new chief execut peter lynch said winndixi would use chapter 11 breath space take necessari action turn around   includ achiev signific cost reduct  improv merchandis custom servic locat gener sens excit store   said  yet evan mann  senior bond analyst gim credit  said mr lynch job would easi  bankruptci would inevit put custom   real big issu go happen next one two quarter bankruptci custom see local newspap   said ,145
